campaign_id,snapshot_number,days_after_start,impressions
38,3,20,226585.0
38,4,27,494268.0
39,1,60,225509.0
39,2,119,263235.0
39,3,178,279029.0
39,4,238,493081.0
40,1,18,151069.0
40,2,36,227752.0
40,3,54,251955.0
40,4,72,417846.0
41,1,22,202318.0
41,2,44,241843.0
41,3,66,253947.0
41,4,88,453430.0
42,1,23,59414.0
42,2,46,207194.0
42,3,68,256229.0
42,4,91,305714.0
43,1,11,193344.0
43,2,22,225741.0
43,3,32,258834.0
43,4,43,532140.0
44,1,6,153549.0
44,2,12,179744.0
44,3,19,257484.0
44,4,25,607178.0
45,1,31,95252.0
45,2,62,160977.0
45,3,94,187267.0
45,4,125,204794.0
46,1,13,128559.0
46,2,26,201766.0
46,3,40,238305.0
46,4,53,448524.0
47,1,14,76433.0
47,2,28,106430.0
47,3,43,216985.0
47,4,57,303499.0
48,1,6,103685.0
48,2,11,164102.0
48,3,16,206133.0
48,4,22,309303.0
49,1,18,156208.0
49,2,35,237105.0
49,3,52,266023.0
49,4,70,317756.0
50,1,11,101470.0
50,2,22,119352.0
50,3,34,177554.0
50,4,45,250808.0
51,1,6,165682.0
51,2,11,213708.0
51,3,16,277388.0
51,4,22,474974.0
52,1,18,35545.0
52,2,36,96612.0
52,3,55,161171.0
52,4,73,245371.0
53,1,44,101739.0
53,2,89,113590.0
53,3,134,130418.0
53,4,178,227529.0
54,1,3,176401.0
54,2,6,244900.0
54,3,9,317713.0
54,4,12,568858.0
55,1,8,96918.0
55,2,16,128523.0
55,3,24,171145.0
55,4,32,324794.0
56,1,2,227261.0
56,2,4,312151.0
56,3,5,408007.0
56,4,7,1080141.0
57,1,28,159992.0
57,2,57,192475.0
57,3,86,255000.0
57,4,114,377673.0
58,1,9,57301.0
58,2,18,138815.0
58,3,26,
58,4,35,416690.0
59,1,2,238261.0
59,2,4,376762.0
59,3,6,493816.0
59,4,8,1036279.0
60,1,10,89497.0
60,2,21,113966.0
60,3,32,172965.0
60,4,42,277404.0
61,1,28,19966.0
61,2,56,81932.0
61,3,85,106718.0
61,4,113,123242.0
62,1,3,111528.0
62,2,6,147227.0
62,3,9,209281.0
62,4,12,905240.0
63,1,78,60413.0
63,2,156,117765.0
63,3,234,140706.0
63,4,312,156000.0
64,1,31,14062.0
64,2,62,50491.0
64,3,92,69827.0
64,4,123,82717.0
65,1,8,88319.0
65,2,16,108935.0
65,3,25,118771.0
65,4,33,251482.0
66,1,20,78770.0
66,2,40,128628.0
66,3,59,148571.0
66,4,79,161867.0
67,1,4,18024.0
67,2,7,
67,3,10,143999.0
67,4,14,144000.0
68,1,16,18182.0
68,2,32,115431.0
68,3,49,154330.0
68,4,65,180263.0
69,1,15,37059.0
69,2,30,130070.0
69,3,44,162314.0
69,4,59,273745.0
70,1,4,107824.0
70,2,9,138836.0
70,3,14,154117.0
70,4,18,337355.0
71,1,2,174239.0
71,2,3,257307.0
71,3,4,321007.0
71,4,6,692643.0
72,1,2,205730.0
72,2,3,268362.0
72,3,4,334401.0
72,4,6,661170.0
73,1,54,18040.0
73,2,107,80551.0
73,3,160,105555.0
73,4,214,122225.0
74,1,9,43746.0
74,2,18,87383.0
74,3,28,132792.0
74,4,37,183717.0
75,1,46,16721.0
75,2,92,82611.0
75,3,137,122302.0
75,4,183,148763.0
76,1,14,68405.0
76,2,28,87139.0
76,3,42,88922.0
76,4,56,219134.0
77,1,12,65138.0
77,2,23,99693.0
77,3,34,121910.0
77,4,46,166442.0
78,1,38,27220.0
78,2,77,
78,3,116,101752.0
78,4,154,149373.0
79,1,2,103695.0
79,2,3,172818.0
79,3,4,241037.0
79,4,6,509169.0
80,1,14,21994.0
80,2,28,56037.0
80,3,43,94204.0
80,4,57,119648.0
81,1,9,35264.0
81,2,18,47335.0
81,3,27,119078.0
81,4,36,179676.0
82,1,38,24882.0
82,2,77,38841.0
82,3,116,69895.0
82,4,154,90598.0
83,1,6,99135.0
83,2,12,109793.0
83,3,19,144805.0
83,4,25,262189.0
84,1,34,48964.0
84,2,68,68652.0
84,3,103,106591.0
84,4,137,173189.0
85,1,4,96428.0
85,2,7,134060.0
85,3,10,143472.0
85,4,14,217207.0
86,1,4,102730.0
86,2,8,119986.0
86,3,13,
86,4,17,259259.0
87,1,4,100318.0
87,2,8,125649.0
87,3,13,152608.0
87,4,17,212124.0
88,1,33,15311.0
88,2,66,80230.0
88,3,100,106197.0
88,4,133,123509.0
89,1,6,73341.0
89,2,12,80206.0
89,3,17,94704.0
89,4,23,197772.0
90,1,7,
90,2,14,74746.0
90,3,22,99380.0
90,4,29,207064.0
91,1,10,26633.0
91,2,20,50354.0
91,3,29,96532.0
91,4,39,208834.0
92,1,33,53339.0
92,2,66,81472.0
92,3,100,93343.0
92,4,133,223177.0
93,1,2,57637.0
93,2,3,69812.0
93,3,4,118738.0
93,4,6,348469.0
94,1,2,95287.0
94,2,3,124008.0
94,3,4,158128.0
94,4,6,363676.0
95,1,3,69350.0
95,2,6,82485.0
95,3,10,
95,4,13,259665.0
96,1,4,67003.0
96,2,7,78062.0
96,3,10,89255.0
96,4,14,181167.0
97,1,4,69029.0
97,2,8,105998.0
97,3,13,119108.0
97,4,17,143463.0
98,1,8,27614.0
98,2,15,61335.0
98,3,22,83131.0
98,4,30,158579.0
99,1,15,18898.0
99,2,30,56506.0
99,3,44,80462.0
99,4,59,96433.0
100,1,16,32554.0
100,2,32,56758.0
100,3,49,73355.0
100,4,65,143761.0
101,1,30,41315.0
101,2,60,80370.0
101,3,91,93245.0
101,4,121,140316.0
102,1,12,72484.0
102,2,25,89239.0
102,3,38,129200.0
102,4,50,155840.0
103,1,38,95226.0
103,2,76,108128.0
103,3,114,114805.0
103,4,152,270101.0
104,1,10,19579.0
104,2,20,38377.0
104,3,29,64613.0
104,4,39,82104.0
105,1,3,82458.0
105,2,6,104428.0
105,3,10,112619.0
105,4,13,176828.0
106,1,2,22621.0
106,2,3,60124.0
106,3,4,111555.0
106,4,6,187644.0
107,1,4,61715.0
107,2,8,70973.0
107,3,13,87838.0
107,4,17,140037.0
108,1,5,
108,2,10,55788.0
108,3,16,67430.0
108,4,21,117795.0
109,1,7,43005.0
109,2,14,68828.0
109,3,22,104927.0
109,4,29,139648.0
110,1,7,44219.0
110,2,14,56543.0
110,3,20,82993.0
110,4,27,115924.0
111,1,8,20644.0
111,2,16,66438.0
111,3,24,84756.0
111,4,32,96968.0
112,1,12,16408.0
112,2,24,40375.0
112,3,37,49962.0
112,4,49,56353.0
113,1,5,23352.0
113,2,10,34735.0
113,3,14,66896.0
113,4,19,166685.0
114,1,5,21591.0
114,2,10,48972.0
114,3,16,67459.0
114,4,21,132556.0
115,1,12,30750.0
115,2,23,72307.0
115,3,34,86856.0
115,4,46,135271.0
116,1,16,36763.0
116,2,32,54013.0
116,3,47,73627.0
116,4,63,120895.0
117,1,15,51943.0
117,2,30,60001.0
117,3,46,71377.0
117,4,61,154797.0
118,1,4,29887.0
118,2,7,47634.0
118,3,10,58310.0
118,4,14,65428.0
119,1,20,16575.0
119,2,40,27061.0
119,3,61,37730.0
119,4,81,44843.0
120,1,35,16435.0
120,2,70,30409.0
120,3,105,35999.0
120,4,140,39725.0
121,1,11,34760.0
121,2,22,39624.0
121,3,33,49317.0
121,4,44,75092.0
122,1,5,41654.0
122,2,10,
122,3,14,89945.0
122,4,19,102588.0
123,1,10,22745.0
123,2,20,28847.0
123,3,29,49890.0
123,4,39,84273.0
124,1,2,41669.0
124,2,4,85700.0
124,3,5,95816.0
124,4,7,176972.0
125,1,9,33859.0
125,2,18,49326.0
125,3,28,76205.0
125,4,37,94124.0
126,1,10,23398.0
126,2,20,52559.0
126,3,29,64224.0
126,4,39,72000.0
127,1,10,13090.0
127,2,20,33151.0
127,3,29,43880.0
127,4,39,92626.0
128,1,4,9558.0
128,2,8,
128,3,13,70513.0
128,4,17,92534.0
129,1,8,38800.0
129,2,16,64436.0
129,3,23,76013.0
129,4,31,118264.0
130,1,8,31027.0
130,2,17,39680.0
130,3,26,73053.0
130,4,34,120980.0
131,1,11,13520.0
131,2,22,40093.0
131,3,33,54806.0
131,4,44,64615.0
132,1,9,21620.0
132,2,18,39537.0
132,3,27,49707.0
132,4,36,123502.0
133,1,9,22211.0
133,2,18,72676.0
133,3,26,85052.0
133,4,35,142271.0
134,1,17,14355.0
134,2,34,26017.0
134,3,52,52689.0
134,4,69,70471.0
135,1,12,16466.0
135,2,25,24727.0
135,3,38,52900.0
135,4,50,119544.0
136,1,24,36499.0
136,2,48,56173.0
136,3,71,75972.0
136,4,95,212410.0
137,1,5,32184.0
137,2,10,32661.0
137,3,16,39803.0
137,4,21,76541.0
138,1,4,10925.0
138,2,8,37822.0
138,3,13,69964.0
138,4,17,91392.0
139,1,16,25475.0
139,2,32,31705.0
139,3,48,47490.0
139,4,64,58014.0
140,1,9,9766.0
140,2,18,44892.0
140,3,28,60230.0
140,4,37,70456.0
141,1,19,26330.0
141,2,38,42846.0
141,3,56,58835.0
141,4,75,69495.0
142,1,19,27024.0
142,2,38,34653.0
142,3,56,55629.0
142,4,75,69613.0
143,1,22,31630.0
143,2,44,37787.0
143,3,67,47917.0
143,4,89,67636.0
144,1,16,19970.0
144,2,31,51731.0
144,3,46,64435.0
144,4,62,72905.0
145,1,10,13594.0
145,2,20,55777.0
145,3,29,71430.0
145,4,39,83899.0
146,1,4,10142.0
146,2,8,45596.0
146,3,13,66730.0
146,4,17,80819.0
147,1,14,18269.0
147,2,28,30039.0
147,3,43,59740.0
147,4,57,79541.0
148,1,16,12467.0
148,2,31,33518.0
148,3,46,41094.0
148,4,62,78591.0
149,1,4,20303.0
149,2,8,42822.0
149,3,12,48685.0
149,4,16,88042.0
150,1,15,17646.0
150,2,30,54273.0
150,3,45,67772.0
150,4,60,78965.0
151,1,9,14405.0
151,2,18,32419.0
151,3,28,46626.0
151,4,37,100654.0
152,1,12,49399.0
152,2,24,65113.0
152,3,36,74144.0
152,4,48,103205.0
153,1,31,38325.0
153,2,62,48137.0
153,3,93,67734.0
153,4,124,84366.0
154,1,9,33770.0
154,2,18,42718.0
154,3,28,50085.0
154,4,37,77885.0
155,1,4,32993.0
155,2,7,45045.0
155,3,10,61218.0
155,4,14,161757.0
156,1,8,35913.0
156,2,16,43082.0
156,3,24,51080.0
156,4,32,105592.0
157,1,13,3458.0
157,2,26,7707.0
157,3,40,9406.0
157,4,53,10539.0
158,1,6,
158,2,12,18414.0
158,3,19,26454.0
158,4,25,31814.0
159,1,36,2599.0
159,2,71,11463.0
159,3,106,15009.0
159,4,142,17373.0
160,1,4,21922.0
160,2,8,31831.0
160,3,13,36241.0
160,4,17,62587.0
161,1,14,19512.0
161,2,28,33145.0
161,3,41,38598.0
161,4,55,42234.0
162,1,12,12161.0
162,2,24,18972.0
162,3,35,34615.0
162,4,47,45044.0
163,1,6,19861.0
163,2,11,31239.0
163,3,16,50065.0
163,4,22,62615.0
164,1,7,25830.0
164,2,14,33607.0
164,3,20,48231.0
164,4,27,57981.0
165,1,2,37226.0
165,2,3,47682.0
165,3,4,51698.0
165,4,6,81341.0
166,1,4,6505.0
166,2,8,13737.0
166,3,12,33842.0
166,4,16,60888.0
167,1,12,5485.0
167,2,23,11981.0
167,3,34,34758.0
167,4,46,49943.0
168,1,12,24096.0
168,2,24,32921.0
168,3,37,44145.0
168,4,49,51627.0
169,1,4,20532.0
169,2,8,
169,3,11,56656.0
169,4,15,61298.0
170,1,30,19571.0
170,2,60,38797.0
170,3,89,46488.0
170,4,119,51615.0
171,1,16,21892.0
171,2,32,29631.0
171,3,49,38051.0
171,4,65,63397.0
172,1,10,2910.0
172,2,20,7721.0
172,3,30,9646.0
172,4,40,10929.0
173,1,20,6056.0
173,2,39,11651.0
173,3,58,13889.0
173,4,78,15381.0
174,1,13,24415.0
174,2,26,44841.0
174,3,40,53011.0
174,4,53,58458.0
175,1,7,19770.0
175,2,14,39619.0
175,3,22,55920.0
175,4,29,85173.0
176,1,8,28806.0
176,2,16,47832.0
176,3,23,56005.0
176,4,31,87387.0
177,1,10,8335.0
177,2,21,25106.0
177,3,32,39687.0
177,4,42,69766.0
178,1,4,9331.0
178,2,9,26485.0
178,3,14,47044.0
178,4,18,64838.0
179,1,4,39868.0
179,2,8,52603.0
179,3,12,59095.0
179,4,16,89686.0
180,1,8,23439.0
180,2,16,34950.0
180,3,23,46580.0
180,4,31,74784.0
181,1,32,19668.0
181,2,64,29922.0
181,3,96,37693.0
181,4,128,75457.0
182,1,17,26077.0
182,2,34,42557.0
182,3,52,47574.0
182,4,69,107503.0
183,1,6,5735.0
183,2,12,10063.0
183,3,17,11794.0
183,4,23,12948.0
184,1,3,15691.0
184,2,6,18998.0
184,3,10,25430.0
184,4,13,37042.0
185,1,8,5595.0
185,2,16,16423.0
185,3,23,20754.0
185,4,31,23641.0
186,1,5,15674.0
186,2,10,27640.0
186,3,15,32426.0
186,4,20,35617.0
187,1,6,6084.0
187,2,12,23354.0
187,3,18,30263.0
187,4,24,34868.0
188,1,33,10859.0
188,2,66,19526.0
188,3,99,22993.0
188,4,132,25304.0
189,1,8,10069.0
189,2,16,22144.0
189,3,23,30286.0
189,4,31,35714.0
190,1,11,9161.0
190,2,22,18481.0
190,3,34,26594.0
190,4,45,32002.0
191,1,4,13840.0
191,2,7,17574.0
191,3,10,36088.0
191,4,14,51267.0
192,1,7,10945.0
192,2,14,
192,3,20,25902.0
192,4,27,33926.0
193,1,6,10249.0
193,2,11,25564.0
193,3,16,35000.0
193,4,22,41290.0
194,1,6,7166.0
194,2,12,27208.0
194,3,17,35225.0
194,4,23,40570.0
195,1,8,14403.0
195,2,16,17535.0
195,3,25,24399.0
195,4,33,36412.0
196,1,8,9125.0
196,2,15,25860.0
196,3,22,32903.0
196,4,30,37599.0
197,1,12,12259.0
197,2,24,24812.0
197,3,36,29833.0
197,4,48,33180.0
198,1,7,16545.0
198,2,14,29803.0
198,3,22,35106.0
198,4,29,38642.0
199,1,5,17180.0
199,2,10,24956.0
199,3,14,34384.0
199,4,19,40669.0
200,1,6,21702.0
200,2,12,33118.0
200,3,17,38208.0
200,4,23,43532.0
201,1,7,18117.0
201,2,14,25651.0
201,3,21,28698.0
201,4,28,52136.0
202,1,15,15536.0
202,2,30,29686.0
202,3,44,35346.0
202,4,59,39119.0
203,1,3,21860.0
203,2,6,27619.0
203,3,9,30174.0
203,4,12,52357.0
204,1,7,25035.0
204,2,14,33417.0
204,3,20,42309.0
204,4,27,55007.0
205,1,14,9073.0
205,2,29,21591.0
205,3,44,38915.0
205,4,58,63713.0
206,1,2,29830.0
206,2,4,33683.0
206,3,5,36688.0
206,4,7,65231.0
207,1,7,5826.0
207,2,14,29166.0
207,3,20,38276.0
207,4,27,51000.0
208,1,2,9546.0
208,2,4,18249.0
208,3,6,21730.0
208,4,8,24051.0
209,1,5,6621.0
209,2,10,11812.0
209,3,16,13889.0
209,4,21,15273.0
210,1,7,2188.0
210,2,14,8741.0
210,3,22,11362.0
210,4,29,13110.0
211,1,14,2838.0
211,2,28,7320.0
211,3,42,9113.0
211,4,56,10308.0
212,1,14,4843.0
212,2,28,8172.0
212,3,42,9504.0
212,4,56,10392.0
213,1,6,
213,2,12,9841.0
213,3,17,12964.0
213,4,23,15046.0
214,1,14,
214,2,28,11036.0
214,3,42,11040.0
214,4,56,11042.0
215,1,8,3804.0
215,2,16,10942.0
215,3,24,13797.0
215,4,32,15701.0
216,1,4,9570.0
216,2,8,14319.0
216,3,11,19048.0
216,4,15,22201.0
217,1,9,2941.0
217,2,18,10539.0
217,3,27,13578.0
217,4,36,15604.0
218,1,6,10612.0
218,2,12,14038.0
218,3,18,19880.0
218,4,24,32020.0
219,1,12,7151.0
219,2,24,11678.0
219,3,37,13489.0
219,4,49,14696.0
220,1,4,11722.0
220,2,7,21864.0
220,3,10,31633.0
220,4,14,43803.0
221,1,7,18873.0
221,2,14,23852.0
221,3,21,26335.0
221,4,28,38623.0
222,1,8,11247.0
222,2,15,16828.0
222,3,22,21999.0
222,4,30,38641.0
223,1,4,15882.0
223,2,9,18437.0
223,3,14,22221.0
223,4,18,42989.0
224,1,4,14449.0
224,2,9,17758.0
224,3,14,20242.0
224,4,18,33669.0
225,1,4,10577.0
225,2,8,19763.0
225,3,11,27474.0
225,4,15,32615.0
226,1,2,10369.0
226,2,4,17187.0
226,3,6,
226,4,8,57376.0
227,1,3,9075.0
227,2,6,14408.0
227,3,8,17791.0
227,4,11,26210.0
228,1,15,12366.0
228,2,30,17854.0
228,3,44,31526.0
228,4,59,40641.0
229,1,4,1515.0
229,2,8,3352.0
229,3,11,4087.0
229,4,15,4577.0
230,1,9,4281.0
230,2,18,6780.0
230,3,28,9038.0
230,4,37,10543.0
231,1,5,5046.0
231,2,10,7155.0
231,3,16,9214.0
231,4,21,10586.0
232,1,6,2635.0
232,2,11,3810.0
232,3,16,7666.0
232,4,22,10236.0
233,1,11,7365.0
233,2,22,9726.0
233,3,33,12054.0
233,4,44,17154.0
234,1,14,473.0
234,2,28,2116.0
234,3,42,2773.0
234,4,56,3211.0
235,1,4,388.0
235,2,8,1113.0
235,3,12,1404.0
235,4,16,1597.0
236,1,8,2443.0
236,2,16,4651.0
236,3,24,8905.0
236,4,32,18402.0
237,1,4,2687.0
237,2,9,7869.0
237,3,14,12337.0
237,4,18,15316.0
238,1,18,2681.0
238,2,35,8555.0
238,3,52,10056.0
238,4,70,18605.0
239,1,5,8132.0
239,2,10,9611.0
239,3,16,14617.0
239,4,21,17954.0
240,1,7,4548.0
240,2,14,12075.0
240,3,22,15235.0
240,4,29,26355.0
241,1,2,3782.0
241,2,4,4841.0
241,3,6,9167.0
241,4,8,27239.0
