campaign_id,target,budget,start_month,end_month,start_week,end_week,days,region,category
106,140000,700,4,5,18,18,6,germany,other
107,140000,700,11,11,44,47,17,germany,conference
108,140000,700,3,4,12,15,21,germany,other
109,140000,700,11,12,45,49,29,germany,festival
110,140000,700,11,12,48,52,27,switzerland,concert
111,140000,700,3,4,11,15,32,germany,concert
112,140000,700,2,3,6,13,49,germany,concert
113,140000,700,10,10,41,44,19,germany,concert
114,140000,700,4,4,15,18,21,germany,concert
115,140000,700,1,3,3,10,46,germany,comedy
116,140000,700,9,11,37,46,63,germany,comedy
117,140000,700,11,1,48,4,61,germany,comedy
118,120000,600,7,8,29,31,14,germany,other
119,120000,600,9,11,35,47,81,germany,concert
120,120000,600,4,9,17,37,140,switzerland,theatre
121,120000,600,4,6,17,23,44,germany,comedy
122,120000,600,6,6,23,25,19,switzerland,theatre
123,120000,600,10,12,43,48,39,germany,concert
124,120000,600,4,4,16,17,7,germany,concert
125,120000,600,3,4,10,15,37,germany,theatre
126,120000,600,10,12,43,48,39,austria,concert
127,120000,600,10,12,43,48,39,germany,concert
128,120000,600,11,11,44,47,17,germany,conference
129,120000,600,11,12,44,48,31,germany,conference
130,120000,600,5,6,19,24,34,switzerland,concert
131,120000,600,11,12,45,51,44,germany,concert
132,120000,600,9,10,35,41,36,germany,concert
133,120000,600,11,1,48,1,35,germany,comedy
134,120000,600,7,9,28,37,69,germany,concert
135,120000,600,9,11,39,46,50,germany,festival
136,120000,600,11,2,46,7,95,uk,concert
137,100000,500,3,4,11,14,21,switzerland,concert
138,100000,500,9,10,37,40,17,switzerland,conference
139,100000,500,12,2,49,6,64,germany,comedy
140,100000,500,12,1,49,2,37,germany,sports
141,100000,500,11,2,48,6,75,switzerland,other
142,100000,500,11,2,48,6,75,switzerland,other
143,100000,500,6,9,26,39,89,germany,concert
144,100000,500,12,2,48,5,62,switzerland,concert
145,100000,500,10,12,43,48,39,germany,concert
146,100000,500,9,9,36,39,17,germany,concert
147,100000,500,8,10,35,43,57,germany,comedy
148,100000,500,4,6,15,23,62,germany,festival
149,100000,500,10,10,41,43,16,germany,conference
150,100000,500,12,2,49,5,60,germany,festival
151,100000,500,11,12,47,52,37,switzerland,festival
152,100000,500,2,4,9,16,48,germany,theatre
153,100000,500,3,7,13,31,124,germany,concert
154,100000,500,9,10,38,43,37,switzerland,comedy
155,100000,500,4,4,16,18,14,switzerland,theatre
156,100000,500,7,8,27,32,32,world,concert
157,80000,400,11,12,45,52,53,germany,theatre
158,80000,400,3,4,11,14,25,germany,concert
159,80000,400,1,5,2,22,142,germany,festival
160,80000,400,11,11,44,47,17,germany,conference
161,80000,400,12,1,49,4,55,germany,concert
162,80000,400,11,12,45,52,47,switzerland,concert
163,80000,400,10,11,42,45,22,germany,other
164,80000,400,11,12,48,52,27,switzerland,festival
165,80000,400,4,5,17,18,6,germany,festival
166,80000,400,12,12,49,52,16,switzerland,concert
167,80000,400,10,11,41,48,46,switzerland,comedy
168,80000,400,11,12,45,52,49,switzerland,theatre
169,80000,400,9,9,36,38,15,germany,concert
170,80000,400,9,1,39,4,119,germany,concert
171,80000,400,12,2,49,6,65,usa,conference
172,80000,400,1,3,4,9,40,switzerland,concert
173,80000,400,11,1,46,5,78,austria,concert
174,80000,400,9,11,38,46,53,germany,comedy
175,80000,400,10,11,43,47,29,germany,concert
176,80000,400,11,12,45,50,31,germany,concert
177,80000,400,1,3,3,9,42,germany,concert
178,80000,400,10,11,43,46,18,germany,conference
179,80000,400,5,5,19,21,16,germany,festival
180,80000,400,10,11,40,44,31,germany,conference
181,80000,400,3,8,13,31,128,germany,festival
182,80000,400,8,10,33,43,69,switzerland,comedy
183,60000,300,6,7,24,27,23,germany,conference
184,60000,300,11,11,44,46,13,germany,comedy
185,60000,300,10,11,44,48,31,switzerland,concert
186,60000,300,11,11,45,48,20,germany,concert
187,60000,300,3,4,11,15,24,switzerland,concert
188,60000,300,6,10,22,41,132,germany,concert
189,60000,300,8,9,33,37,31,germany,concert
190,60000,300,8,10,33,40,45,germany,concert
191,60000,300,3,3,11,13,14,germany,concert
192,60000,300,4,5,16,19,27,germany,concert
193,60000,300,6,6,23,26,22,germany,concert
194,60000,300,9,10,39,42,23,germany,concert
195,60000,300,12,1,50,3,33,germany,concert
196,60000,300,3,3,9,13,30,germany,concert
197,60000,300,2,4,9,16,48,switzerland,festival
198,60000,300,7,7,27,31,29,germany,concert
199,60000,300,11,11,45,48,19,germany,concert
200,60000,300,4,5,15,18,23,germany,concert
201,60000,300,1,2,2,6,28,switzerland,theatre
202,60000,300,1,3,4,12,59,switzerland,comedy
203,60000,300,1,2,5,7,12,switzerland,concert
204,60000,300,11,12,48,52,27,switzerland,theatre
205,60000,300,10,12,41,49,58,austria,concert
206,60000,300,4,4,17,18,7,germany,comedy
207,60000,300,5,6,19,23,27,germany,concert
208,40000,200,7,7,28,29,8,germany,comedy
209,40000,200,4,5,17,20,21,germany,concert
210,40000,200,10,11,41,45,29,germany,theatre
211,40000,200,10,12,43,51,56,germany,concert
212,40000,200,10,12,43,51,56,germany,concert
213,40000,200,6,6,23,26,23,germany,concert
214,40000,200,10,12,43,51,56,germany,concert
215,40000,200,8,10,35,40,32,germany,concert
216,40000,200,12,12,48,50,15,germany,concert
217,40000,200,1,2,4,9,36,germany,conference
218,40000,200,11,12,48,51,24,germany,comedy
219,40000,200,8,10,33,40,49,germany,concert
220,40000,200,10,10,40,42,14,germany,concert
221,40000,200,11,12,47,51,28,germany,comedy
222,40000,200,10,11,41,45,30,austria,theatre
223,40000,200,10,11,43,46,18,germany,conference
224,40000,200,10,11,43,46,18,germany,conference
225,40000,200,11,11,45,47,15,germany,concert
226,40000,200,12,12,49,50,8,germany,comedy
227,40000,200,3,3,11,12,11,germany,concert
228,40000,200,10,11,40,48,59,germany,conference
229,20000,100,2,2,6,8,15,germany,comedy
230,20000,100,8,9,34,39,37,germany,concert
231,20000,100,2,3,7,10,21,switzerland,
232,20000,100,2,3,7,10,22,switzerland,
233,20000,100,2,4,9,15,44,germany,festival
234,20000,100,10,12,43,51,56,germany,concert
235,20000,100,11,11,44,46,16,germany,concert
236,20000,100,9,10,38,43,32,austria,festival
237,20000,100,10,11,43,46,18,germany,conference
238,20000,100,9,11,36,46,70,germany,comedy
239,20000,100,12,12,49,52,21,switzerland,theatre
240,20000,100,4,4,13,18,29,germany,festival
241,20000,100,12,12,49,50,8,germany,comedy
