target,budget,start_month,end_month,start_week,end_week,days,region,category,impressions_s1,impressions_s2,impressions_s3,days_after_start_s1,days_after_start_s2,days_after_start_s3,days_after_start_s4,facebook,google_display,google_search,instagram,needs_intervention
320000,1600,1,2,3,6,22,germany,conference,165682.0,213708.0,277388.0,6,11,16,22,1,0,1,1,0
320000,1600,6,9,26,36,73,germany,concert,35545.0,96612.0,161171.0,18,36,55,73,1,0,1,1,1
300000,1500,12,6,50,23,178,switzerland,theatre,101739.0,113590.0,130418.0,44,89,134,178,1,0,1,1,1
300000,1500,6,7,26,27,12,switzerland,concert,176401.0,244900.0,317713.0,3,6,9,12,1,0,1,1,0
300000,1500,2,3,8,13,32,switzerland,theatre,96918.0,128523.0,171145.0,8,16,24,32,1,0,1,1,0
300000,1500,12,12,51,52,7,germany,conference,227261.0,312151.0,408007.0,2,4,5,7,1,0,1,0,0
300000,1500,11,3,46,10,114,germany,other,159992.0,192475.0,255000.0,28,57,86,114,1,0,1,1,0
280000,1400,6,7,23,28,35,germany,other,57301.0,138815.0,,9,18,26,35,1,0,1,1,0
280000,1400,3,3,12,13,8,germany,concert,238261.0,376762.0,493816.0,2,4,6,8,1,0,0,1,0
280000,1400,2,3,6,12,42,switzerland,concert,89497.0,113966.0,172965.0,10,21,32,42,1,0,1,1,0
260000,1300,9,12,35,51,113,switzerland,theatre,19966.0,81932.0,106718.0,28,56,85,113,1,0,1,1,1
260000,1300,5,6,20,22,12,europe,other,111528.0,147227.0,209281.0,3,6,9,12,0,0,0,1,0
260000,1300,12,10,49,41,312,germany,conference,60413.0,117765.0,140706.0,78,156,234,312,0,0,1,0,1
240000,1200,4,8,16,33,123,germany,festival,14062.0,50491.0,69827.0,31,62,92,123,1,0,1,1,1
240000,1200,3,4,11,16,33,usa,theatre,88319.0,108935.0,118771.0,8,16,25,33,1,0,1,1,0
240000,1200,9,11,35,47,79,switzerland,theatre,78770.0,128628.0,148571.0,20,40,59,79,1,0,1,1,1
240000,1200,4,4,14,16,14,germany,concert,18024.0,,143999.0,4,7,10,14,1,0,0,1,1
240000,1200,11,1,47,4,65,switzerland,theatre,18182.0,115431.0,154330.0,16,32,49,65,1,0,0,1,1
240000,1200,3,5,9,18,59,germany,conference,37059.0,130070.0,162314.0,15,30,44,59,1,0,1,1,0
240000,1200,10,11,43,46,18,germany,conference,107824.0,138836.0,154117.0,4,9,14,18,1,0,1,1,0
220000,1100,4,5,18,18,6,germany,other,174239.0,257307.0,321007.0,2,3,4,6,1,0,0,0,0
220000,1100,4,5,18,18,6,germany,other,205730.0,268362.0,334401.0,2,3,4,6,1,0,0,0,0
220000,1100,11,6,48,26,214,switzerland,concert,18040.0,80551.0,105555.0,54,107,160,214,1,0,0,1,1
220000,1100,1,3,5,10,37,switzerland,concert,43746.0,87383.0,132792.0,9,18,28,37,1,0,1,1,1
220000,1100,5,10,18,44,183,germany,other,16721.0,82611.0,122302.0,46,92,137,183,1,0,1,1,1
220000,1100,10,12,40,48,56,germany,concert,68405.0,87139.0,88922.0,14,28,42,56,1,0,1,1,0
220000,1100,3,4,10,17,46,germany,conference,65138.0,99693.0,121910.0,12,23,34,46,1,0,1,1,1
220000,1100,7,12,29,51,154,germany,concert,27220.0,,101752.0,38,77,116,154,1,0,1,1,1
200000,1000,4,5,18,18,6,germany,other,103695.0,172818.0,241037.0,2,3,4,6,1,0,0,0,0
200000,1000,1,3,4,12,57,switzerland,theatre,21994.0,56037.0,94204.0,14,28,43,57,1,0,1,1,1
200000,1000,4,5,16,21,36,switzerland,theatre,35264.0,47335.0,119078.0,9,18,27,36,1,0,0,1,1
200000,1000,4,9,17,39,154,switzerland,theatre,24882.0,38841.0,69895.0,38,77,116,154,1,0,0,1,1
200000,1000,7,7,27,31,25,germany,festival,99135.0,109793.0,144805.0,6,12,19,25,1,0,1,1,0
200000,1000,11,3,44,11,137,switzerland,other,48964.0,68652.0,106591.0,34,68,103,137,1,0,0,0,1
180000,900,1,2,4,6,14,switzerland,concert,96428.0,134060.0,143472.0,4,7,10,14,1,0,1,1,0
180000,900,11,11,44,47,17,germany,conference,102730.0,119986.0,,4,8,13,17,1,0,1,1,0
180000,900,11,11,44,47,17,germany,conference,100318.0,125649.0,152608.0,4,8,13,17,1,0,1,1,0
180000,900,4,9,17,36,133,switzerland,theatre,15311.0,80230.0,106197.0,33,66,100,133,1,0,0,1,1
180000,900,2,2,6,9,23,germany,theatre,73341.0,80206.0,94704.0,6,12,17,23,1,0,1,1,0
180000,900,9,10,37,41,29,switzerland,comedy,,74746.0,99380.0,7,14,22,29,1,0,1,1,0
180000,900,9,10,38,43,39,switzerland,concert,26633.0,50354.0,96532.0,10,20,29,39,1,0,0,1,0
180000,900,11,3,44,11,133,world,concert,53339.0,81472.0,93343.0,33,66,100,133,1,0,0,1,0
160000,800,4,5,18,18,6,germany,other,57637.0,69812.0,118738.0,2,3,4,6,1,0,0,0,0
160000,800,4,5,18,18,6,germany,other,95287.0,124008.0,158128.0,2,3,4,6,1,0,0,0,0
160000,800,6,6,23,24,13,germany,conference,69350.0,82485.0,,3,6,10,13,1,0,1,1,0
160000,800,4,4,13,15,14,germany,concert,67003.0,78062.0,89255.0,4,7,10,14,1,0,0,1,0
160000,800,12,12,49,51,17,germany,concert,69029.0,105998.0,119108.0,4,8,13,17,1,0,1,1,1
160000,800,11,12,46,50,30,switzerland,concert,27614.0,61335.0,83131.0,8,15,22,30,1,0,0,0,0
160000,800,10,12,43,52,59,switzerland,comedy,18898.0,56506.0,80462.0,15,30,44,59,1,0,0,0,1
160000,800,11,1,44,1,65,switzerland,theatre,32554.0,56758.0,73355.0,16,32,49,65,1,0,1,1,1
160000,800,1,5,4,21,121,germany,sports,41315.0,80370.0,93245.0,30,60,91,121,1,0,0,1,1
160000,800,8,10,34,41,50,germany,concert,72484.0,89239.0,129200.0,12,25,38,50,1,0,1,1,0
160000,800,6,11,26,48,152,switzerland,concert,95226.0,108128.0,114805.0,38,76,114,152,1,0,0,1,0
140000,700,10,12,43,48,39,switzerland,concert,19579.0,38377.0,64613.0,10,20,29,39,1,0,1,1,1
140000,700,6,7,26,28,13,germany,festival,82458.0,104428.0,112619.0,3,6,10,13,1,0,1,1,0
140000,700,4,5,18,18,6,germany,other,22621.0,60124.0,111555.0,2,3,4,6,1,0,0,0,0
140000,700,11,11,44,47,17,germany,conference,61715.0,70973.0,87838.0,4,8,13,17,1,0,1,1,0
140000,700,3,4,12,15,21,germany,other,,55788.0,67430.0,5,10,16,21,1,0,1,1,1
140000,700,11,12,45,49,29,germany,festival,43005.0,68828.0,104927.0,7,14,22,29,1,0,1,1,0
140000,700,11,12,48,52,27,switzerland,concert,44219.0,56543.0,82993.0,7,14,20,27,1,0,0,0,1
140000,700,3,4,11,15,32,germany,concert,20644.0,66438.0,84756.0,8,16,24,32,1,0,1,1,1
140000,700,2,3,6,13,49,germany,concert,16408.0,40375.0,49962.0,12,24,37,49,1,0,1,1,1
140000,700,10,10,41,44,19,germany,concert,23352.0,34735.0,66896.0,5,10,14,19,1,0,1,1,0
140000,700,4,4,15,18,21,germany,concert,21591.0,48972.0,67459.0,5,10,16,21,1,1,1,1,0
140000,700,1,3,3,10,46,germany,comedy,30750.0,72307.0,86856.0,12,23,34,46,1,0,0,1,0
140000,700,9,11,37,46,63,germany,comedy,36763.0,54013.0,73627.0,16,32,47,63,1,0,0,1,1
140000,700,11,1,48,4,61,germany,comedy,51943.0,60001.0,71377.0,15,30,46,61,1,0,1,1,0
120000,600,7,8,29,31,14,germany,other,29887.0,47634.0,58310.0,4,7,10,14,0,0,1,0,1
120000,600,9,11,35,47,81,germany,concert,16575.0,27061.0,37730.0,20,40,61,81,1,0,1,1,1
120000,600,4,9,17,37,140,switzerland,theatre,16435.0,30409.0,35999.0,35,70,105,140,1,0,0,1,1
120000,600,4,6,17,23,44,germany,comedy,34760.0,39624.0,49317.0,11,22,33,44,1,0,1,1,1
120000,600,6,6,23,25,19,switzerland,theatre,41654.0,,89945.0,5,10,14,19,1,0,0,1,1
120000,600,10,12,43,48,39,germany,concert,22745.0,28847.0,49890.0,10,20,29,39,1,0,1,1,1
120000,600,4,4,16,17,7,germany,concert,41669.0,85700.0,95816.0,2,4,5,7,1,0,0,1,0
120000,600,3,4,10,15,37,germany,theatre,33859.0,49326.0,76205.0,9,18,28,37,1,0,1,0,1
120000,600,10,12,43,48,39,austria,concert,23398.0,52559.0,64224.0,10,20,29,39,1,0,1,1,1
120000,600,10,12,43,48,39,germany,concert,13090.0,33151.0,43880.0,10,20,29,39,1,0,1,1,1
120000,600,11,11,44,47,17,germany,conference,9558.0,,70513.0,4,8,13,17,1,0,1,1,1
120000,600,11,12,44,48,31,germany,conference,38800.0,64436.0,76013.0,8,16,23,31,1,0,0,0,0
120000,600,5,6,19,24,34,switzerland,concert,31027.0,39680.0,73053.0,8,17,26,34,1,0,1,0,0
120000,600,11,12,45,51,44,germany,concert,13520.0,40093.0,54806.0,11,22,33,44,1,0,1,1,1
120000,600,9,10,35,41,36,germany,concert,21620.0,39537.0,49707.0,9,18,27,36,1,0,1,1,0
120000,600,11,1,48,1,35,germany,comedy,22211.0,72676.0,85052.0,9,18,26,35,1,0,1,0,0
120000,600,7,9,28,37,69,germany,concert,14355.0,26017.0,52689.0,17,34,52,69,1,0,1,1,1
120000,600,9,11,39,46,50,germany,festival,16466.0,24727.0,52900.0,12,25,38,50,1,0,1,1,0
120000,600,11,2,46,7,95,uk,concert,36499.0,56173.0,75972.0,24,48,71,95,1,0,0,1,0
100000,500,3,4,11,14,21,switzerland,concert,32184.0,32661.0,39803.0,5,10,16,21,1,0,1,0,1
100000,500,9,10,37,40,17,switzerland,conference,10925.0,37822.0,69964.0,4,8,13,17,1,0,1,1,0
100000,500,12,2,49,6,64,germany,comedy,25475.0,31705.0,47490.0,16,32,48,64,1,0,1,1,1
100000,500,12,1,49,2,37,germany,sports,9766.0,44892.0,60230.0,9,18,28,37,1,0,1,1,1
100000,500,11,2,48,6,75,switzerland,other,26330.0,42846.0,58835.0,19,38,56,75,1,0,0,1,1
100000,500,11,2,48,6,75,switzerland,other,27024.0,34653.0,55629.0,19,38,56,75,1,0,0,1,1
100000,500,6,9,26,39,89,germany,concert,31630.0,37787.0,47917.0,22,44,67,89,1,0,1,1,1
100000,500,12,2,48,5,62,switzerland,concert,19970.0,51731.0,64435.0,16,31,46,62,1,0,0,1,1
100000,500,10,12,43,48,39,germany,concert,13594.0,55777.0,71430.0,10,20,29,39,1,0,0,0,1
100000,500,9,9,36,39,17,germany,concert,10142.0,45596.0,66730.0,4,8,13,17,1,0,1,1,1
100000,500,8,10,35,43,57,germany,comedy,18269.0,30039.0,59740.0,14,28,43,57,1,0,1,1,1
100000,500,4,6,15,23,62,germany,festival,12467.0,33518.0,41094.0,16,31,46,62,1,0,1,1,1
100000,500,10,10,41,43,16,germany,conference,20303.0,42822.0,48685.0,4,8,12,16,1,0,1,1,1
100000,500,12,2,49,5,60,germany,festival,17646.0,54273.0,67772.0,15,30,45,60,1,0,1,1,1
100000,500,11,12,47,52,37,switzerland,festival,14405.0,32419.0,46626.0,9,18,28,37,1,0,0,0,0
100000,500,2,4,9,16,48,germany,theatre,49399.0,65113.0,74144.0,12,24,36,48,1,0,1,1,0
100000,500,3,7,13,31,124,germany,concert,38325.0,48137.0,67734.0,31,62,93,124,1,0,1,1,1
100000,500,9,10,38,43,37,switzerland,comedy,33770.0,42718.0,50085.0,9,18,28,37,1,0,1,1,1
100000,500,4,4,16,18,14,switzerland,theatre,32993.0,45045.0,61218.0,4,7,10,14,1,0,1,1,0
100000,500,7,8,27,32,32,world,concert,35913.0,43082.0,51080.0,8,16,24,32,1,0,1,1,0
80000,400,11,12,45,52,53,germany,theatre,3458.0,7707.0,9406.0,13,26,40,53,1,0,1,0,1
80000,400,3,4,11,14,25,germany,concert,,18414.0,26454.0,6,12,19,25,1,0,1,0,1
80000,400,1,5,2,22,142,germany,festival,2599.0,11463.0,15009.0,36,71,106,142,1,0,1,0,1
80000,400,11,11,44,47,17,germany,conference,21922.0,31831.0,36241.0,4,8,13,17,1,0,1,1,1
80000,400,12,1,49,4,55,germany,concert,19512.0,33145.0,38598.0,14,28,41,55,1,0,1,1,1
80000,400,11,12,45,52,47,switzerland,concert,12161.0,18972.0,34615.0,12,24,35,47,1,0,0,0,1
80000,400,10,11,42,45,22,germany,other,19861.0,31239.0,50065.0,6,11,16,22,1,0,1,1,1
80000,400,11,12,48,52,27,switzerland,festival,25830.0,33607.0,48231.0,7,14,20,27,1,0,0,0,1
80000,400,4,5,17,18,6,germany,festival,37226.0,47682.0,51698.0,2,3,4,6,1,0,1,1,0
80000,400,12,12,49,52,16,switzerland,concert,6505.0,13737.0,33842.0,4,8,12,16,1,0,0,0,1
80000,400,10,11,41,48,46,switzerland,comedy,5485.0,11981.0,34758.0,12,23,34,46,1,0,0,1,1
80000,400,11,12,45,52,49,switzerland,theatre,24096.0,32921.0,44145.0,12,24,37,49,1,0,0,0,1
80000,400,9,9,36,38,15,germany,concert,20532.0,,56656.0,4,8,11,15,1,0,1,0,1
80000,400,9,1,39,4,119,germany,concert,19571.0,38797.0,46488.0,30,60,89,119,1,0,0,0,1
80000,400,12,2,49,6,65,usa,conference,21892.0,29631.0,38051.0,16,32,49,65,1,1,1,0,1
80000,400,1,3,4,9,40,switzerland,concert,2910.0,7721.0,9646.0,10,20,30,40,1,0,0,1,1
80000,400,11,1,46,5,78,austria,concert,6056.0,11651.0,13889.0,20,39,58,78,1,0,0,1,1
80000,400,9,11,38,46,53,germany,comedy,24415.0,44841.0,53011.0,13,26,40,53,1,0,1,0,1
80000,400,10,11,43,47,29,germany,concert,19770.0,39619.0,55920.0,7,14,22,29,1,0,1,1,0
80000,400,11,12,45,50,31,germany,concert,28806.0,47832.0,56005.0,8,16,23,31,1,0,1,1,0
80000,400,1,3,3,9,42,germany,concert,8335.0,25106.0,39687.0,10,21,32,42,1,0,1,1,1
80000,400,10,11,43,46,18,germany,conference,9331.0,26485.0,47044.0,4,9,14,18,1,0,1,0,1
80000,400,5,5,19,21,16,germany,festival,39868.0,52603.0,59095.0,4,8,12,16,1,0,1,1,0
80000,400,10,11,40,44,31,germany,conference,23439.0,34950.0,46580.0,8,16,23,31,1,0,1,1,0
80000,400,3,8,13,31,128,germany,festival,19668.0,29922.0,37693.0,32,64,96,128,1,0,1,0,0
80000,400,8,10,33,43,69,switzerland,comedy,26077.0,42557.0,47574.0,17,34,52,69,1,0,0,1,0
60000,300,6,7,24,27,23,germany,conference,5735.0,10063.0,11794.0,6,12,17,23,1,0,1,0,1
60000,300,11,11,44,46,13,germany,comedy,15691.0,18998.0,25430.0,3,6,10,13,1,0,0,1,1
60000,300,10,11,44,48,31,switzerland,concert,5595.0,16423.0,20754.0,8,16,23,31,1,0,0,0,1
60000,300,11,11,45,48,20,germany,concert,15674.0,27640.0,32426.0,5,10,15,20,1,0,0,1,1
60000,300,3,4,11,15,24,switzerland,concert,6084.0,23354.0,30263.0,6,12,18,24,1,0,0,0,1
60000,300,6,10,22,41,132,germany,concert,10859.0,19526.0,22993.0,33,66,99,132,1,0,0,0,1
60000,300,8,9,33,37,31,germany,concert,10069.0,22144.0,30286.0,8,16,23,31,1,0,0,1,1
60000,300,8,10,33,40,45,germany,concert,9161.0,18481.0,26594.0,11,22,34,45,1,0,1,1,1
60000,300,3,3,11,13,14,germany,concert,13840.0,17574.0,36088.0,4,7,10,14,1,0,0,0,1
60000,300,4,5,16,19,27,germany,concert,10945.0,,25902.0,7,14,20,27,1,0,1,0,1
60000,300,6,6,23,26,22,germany,concert,10249.0,25564.0,35000.0,6,11,16,22,1,0,1,0,1
60000,300,9,10,39,42,23,germany,concert,7166.0,27208.0,35225.0,6,12,17,23,1,0,0,1,1
60000,300,12,1,50,3,33,germany,concert,14403.0,17535.0,24399.0,8,16,25,33,1,0,0,0,1
60000,300,3,3,9,13,30,germany,concert,9125.0,25860.0,32903.0,8,15,22,30,1,0,0,1,1
60000,300,2,4,9,16,48,switzerland,festival,12259.0,24812.0,29833.0,12,24,36,48,1,0,0,0,1
60000,300,7,7,27,31,29,germany,concert,16545.0,29803.0,35106.0,7,14,22,29,1,0,1,1,1
60000,300,11,11,45,48,19,germany,concert,17180.0,24956.0,34384.0,5,10,14,19,1,0,0,0,1
60000,300,4,5,15,18,23,germany,concert,21702.0,33118.0,38208.0,6,12,17,23,1,0,0,1,1
60000,300,1,2,2,6,28,switzerland,theatre,18117.0,25651.0,28698.0,7,14,21,28,1,0,0,0,1
60000,300,1,3,4,12,59,switzerland,comedy,15536.0,29686.0,35346.0,15,30,44,59,1,0,0,1,1
60000,300,1,2,5,7,12,switzerland,concert,21860.0,27619.0,30174.0,3,6,9,12,1,0,0,1,1
60000,300,11,12,48,52,27,switzerland,theatre,25035.0,33417.0,42309.0,7,14,20,27,1,0,0,0,0
60000,300,10,12,41,49,58,austria,concert,9073.0,21591.0,38915.0,14,29,44,58,1,0,1,1,0
60000,300,4,4,17,18,7,germany,comedy,29830.0,33683.0,36688.0,2,4,5,7,1,0,0,0,0
60000,300,5,6,19,23,27,germany,concert,5826.0,29166.0,38276.0,7,14,20,27,1,0,1,1,1
40000,200,7,7,28,29,8,germany,comedy,9546.0,18249.0,21730.0,2,4,6,8,1,0,0,0,1
40000,200,4,5,17,20,21,germany,concert,6621.0,11812.0,13889.0,5,10,16,21,1,0,1,0,1
40000,200,10,11,41,45,29,germany,theatre,2188.0,8741.0,11362.0,7,14,22,29,1,0,0,1,1
40000,200,10,12,43,51,56,germany,concert,2838.0,7320.0,9113.0,14,28,42,56,1,0,0,0,1
40000,200,10,12,43,51,56,germany,concert,4843.0,8172.0,9504.0,14,28,42,56,1,0,0,0,1
40000,200,6,6,23,26,23,germany,concert,,9841.0,12964.0,6,12,17,23,1,0,1,1,1
40000,200,10,12,43,51,56,germany,concert,,11036.0,11040.0,14,28,42,56,1,0,0,0,1
40000,200,8,10,35,40,32,germany,concert,3804.0,10942.0,13797.0,8,16,24,32,1,0,0,1,1
40000,200,12,12,48,50,15,germany,concert,9570.0,14319.0,19048.0,4,8,11,15,1,0,0,0,1
40000,200,1,2,4,9,36,germany,conference,2941.0,10539.0,13578.0,9,18,27,36,1,0,0,0,1
40000,200,11,12,48,51,24,germany,comedy,10612.0,14038.0,19880.0,6,12,18,24,1,0,1,1,1
40000,200,8,10,33,40,49,germany,concert,7151.0,11678.0,13489.0,12,24,37,49,1,0,1,1,1
40000,200,10,10,40,42,14,germany,concert,11722.0,21864.0,31633.0,4,7,10,14,1,0,1,1,0
40000,200,11,12,47,51,28,germany,comedy,18873.0,23852.0,26335.0,7,14,21,28,1,0,0,0,0
40000,200,10,11,41,45,30,austria,theatre,11247.0,16828.0,21999.0,8,15,22,30,1,0,1,1,0
40000,200,10,11,43,46,18,germany,conference,15882.0,18437.0,22221.0,4,9,14,18,1,0,1,0,0
40000,200,10,11,43,46,18,germany,conference,14449.0,17758.0,20242.0,4,9,14,18,1,0,1,0,1
40000,200,11,11,45,47,15,germany,concert,10577.0,19763.0,27474.0,4,8,11,15,1,0,1,1,1
40000,200,12,12,49,50,8,germany,comedy,10369.0,17187.0,,2,4,6,8,1,0,0,0,0
40000,200,3,3,11,12,11,germany,concert,9075.0,14408.0,17791.0,3,6,8,11,1,0,0,1,1
40000,200,10,11,40,48,59,germany,conference,12366.0,17854.0,31526.0,15,30,44,59,1,0,1,0,0
20000,100,2,2,6,8,15,germany,comedy,1515.0,3352.0,4087.0,4,8,11,15,1,0,1,0,1
20000,100,8,9,34,39,37,germany,concert,4281.0,6780.0,9038.0,9,18,28,37,0,0,1,0,1
20000,100,2,3,7,10,21,switzerland,,5046.0,7155.0,9214.0,5,10,16,21,1,0,0,0,1
20000,100,2,3,7,10,22,switzerland,,2635.0,3810.0,7666.0,6,11,16,22,1,0,0,0,1
20000,100,2,4,9,15,44,germany,festival,7365.0,9726.0,12054.0,11,22,33,44,1,0,0,0,1
20000,100,10,12,43,51,56,germany,concert,473.0,2116.0,2773.0,14,28,42,56,1,0,0,0,1
20000,100,11,11,44,46,16,germany,concert,388.0,1113.0,1404.0,4,8,12,16,1,0,0,0,1
20000,100,9,10,38,43,32,austria,festival,2443.0,4651.0,8905.0,8,16,24,32,0,0,1,0,0
20000,100,10,11,43,46,18,germany,conference,2687.0,7869.0,12337.0,4,9,14,18,1,0,1,0,1
20000,100,9,11,36,46,70,germany,comedy,2681.0,8555.0,10056.0,18,35,52,70,1,0,0,1,0
20000,100,12,12,49,52,21,switzerland,theatre,8132.0,9611.0,14617.0,5,10,16,21,1,0,0,0,1
20000,100,4,4,13,18,29,germany,festival,4548.0,12075.0,15235.0,7,14,22,29,1,0,0,0,0
20000,100,12,12,49,50,8,germany,comedy,3782.0,4841.0,9167.0,2,4,6,8,1,0,0,0,0
