campaign_id,channel
83,instagram
83,google_search
84,facebook
85,facebook
85,instagram
85,google_search
86,facebook
86,instagram
86,google_search
87,facebook
87,instagram
87,google_search
88,facebook
88,instagram
89,facebook
89,instagram
89,google_search
90,facebook
90,instagram
90,google_search
91,facebook
91,instagram
92,facebook
92,instagram
93,facebook
94,facebook
95,facebook
95,instagram
95,google_search
96,facebook
96,instagram
97,facebook
97,instagram
97,google_search
98,facebook
99,facebook
100,facebook
100,instagram
100,google_search
101,facebook
101,instagram
102,facebook
102,instagram
102,google_search
103,facebook
103,instagram
104,facebook
104,instagram
104,google_search
105,facebook
105,instagram
105,google_search
106,facebook
107,facebook
107,instagram
107,google_search
108,facebook
108,instagram
108,google_search
109,facebook
109,instagram
109,google_search
110,facebook
111,facebook
111,instagram
111,google_search
112,facebook
112,instagram
112,google_search
113,facebook
113,instagram
113,google_search
114,facebook
114,instagram
114,google_search
114,google_display
115,facebook
115,instagram
116,facebook
116,instagram
117,facebook
117,instagram
117,google_search
118,google_search
119,facebook
119,instagram
119,google_search
120,facebook
120,instagram
121,facebook
121,instagram
121,google_search
122,facebook
122,instagram
123,facebook
123,instagram
123,google_search
124,facebook
124,instagram
125,facebook
125,google_search
126,facebook
126,instagram
126,google_search
127,facebook
127,instagram
127,google_search
128,facebook
128,instagram
128,google_search
129,facebook
130,facebook
130,google_search
131,facebook
131,instagram
131,google_search
132,facebook
132,instagram
132,google_search
133,facebook
133,google_search
134,facebook
134,instagram
134,google_search
135,facebook
135,instagram
135,google_search
136,facebook
136,instagram
137,facebook
137,google_search
138,facebook
138,instagram
138,google_search
139,facebook
139,instagram
139,google_search
140,facebook
140,instagram
140,google_search
141,facebook
141,instagram
142,facebook
142,instagram
143,facebook
143,instagram
143,google_search
144,facebook
144,instagram
145,facebook
146,facebook
146,instagram
146,google_search
147,facebook
147,instagram
147,google_search
148,facebook
148,instagram
148,google_search
149,facebook
149,instagram
149,google_search
150,facebook
150,instagram
150,google_search
151,facebook
152,facebook
152,instagram
152,google_search
153,facebook
153,instagram
153,google_search
154,facebook
154,instagram
154,google_search
155,facebook
155,instagram
155,google_search
156,facebook
156,instagram
156,google_search
157,facebook
157,google_search
158,facebook
158,google_search
159,facebook
159,google_search
160,facebook
160,instagram
160,google_search
161,facebook
161,instagram
161,google_search
162,facebook
163,facebook
163,instagram
163,google_search
164,facebook
165,facebook
165,instagram
165,google_search
166,facebook
167,facebook
167,instagram
168,facebook
169,facebook
169,google_search
170,facebook
171,facebook
171,google_search
171,google_display
172,facebook
172,instagram
173,facebook
173,instagram
174,facebook
174,google_search
175,facebook
175,instagram
175,google_search
176,facebook
176,instagram
176,google_search
177,facebook
177,instagram
177,google_search
178,facebook
178,google_search
179,facebook
179,instagram
179,google_search
180,facebook
180,instagram
180,google_search
181,facebook
181,google_search
182,facebook
182,instagram
183,facebook
183,google_search
184,facebook
184,instagram
185,facebook
186,facebook
186,instagram
187,facebook
188,facebook
189,facebook
189,instagram
190,facebook
190,instagram
190,google_search
191,facebook
192,facebook
192,google_search
193,facebook
193,google_search
194,facebook
194,instagram
195,facebook
196,facebook
196,instagram
197,facebook
198,facebook
198,instagram
198,google_search
199,facebook
200,facebook
200,instagram
201,facebook
202,facebook
202,instagram
203,facebook
203,instagram
204,facebook
205,facebook
205,instagram
205,google_search
206,facebook
207,facebook
207,instagram
207,google_search
208,facebook
209,facebook
209,google_search
210,facebook
210,instagram
211,facebook
212,facebook
213,facebook
213,instagram
213,google_search
214,facebook
215,facebook
215,instagram
216,facebook
217,facebook
218,facebook
218,instagram
218,google_search
219,facebook
219,instagram
219,google_search
220,facebook
220,instagram
220,google_search
221,facebook
222,facebook
222,instagram
222,google_search
223,facebook
223,google_search
224,facebook
224,google_search
225,facebook
225,instagram
225,google_search
226,facebook
227,facebook
227,instagram
228,facebook
228,google_search
229,facebook
229,google_search
230,google_search
231,facebook
232,facebook
233,facebook
234,facebook
235,facebook
236,google_search
237,facebook
237,google_search
238,facebook
238,instagram
239,facebook
240,facebook
241,facebook
